2007 Federal Election House of Representatives Two Candidate Preferred By Candidate By Polling Place [Event:13745 Phase:FinalResults Generated:2008-09-03T12:43:44 Cycle:349e38e7-5eda-4bc7-a4a0-805bff59620f Created:2008-08-13T17:22:12 Environment:TEST Site:Primary Server:TST-VTR04 Version:4.8.0.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
ACT,102,Fraser,8822,Jervis Bay,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,47,-8.09
ACT,102,Fraser,8822,Jervis Bay,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,52,8.09
ACT,102,Fraser,8823,Kaleen,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,958,-0.93
ACT,102,Fraser,8823,Kaleen,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,1753,0.93
ACT,102,Fraser,8824,Kaleen South,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,609,-3.28
ACT,102,Fraser,8824,Kaleen South,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,1259,3.28
ACT,102,Fraser,8825,Latham,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,685,-4.33
ACT,102,Fraser,8825,Latham,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,1309,4.33
ACT,102,Fraser,8826,Lyneham,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,857,-1.01
ACT,102,Fraser,8826,Lyneham,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,2558,1.01
ACT,102,Fraser,8827,Macgregor,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,628,-2.53
ACT,102,Fraser,8827,Macgregor,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,1196,2.53
ACT,102,Fraser,8828,Macquarie,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,573,-1.98
ACT,102,Fraser,8828,Macquarie,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,1395,1.98
ACT,102,Fraser,8830,Melba,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,800,-5.36
ACT,102,Fraser,8830,Melba,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,1740,5.36
ACT,102,Fraser,32463,Ngunnawal,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,966,-4.75
ACT,102,Fraser,32463,Ngunnawal,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,1527,4.75
ACT,102,Fraser,34239,Ngunnawal South,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,360,-7.73
ACT,102,Fraser,34239,Ngunnawal South,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,592,7.73
ACT,102,Fraser,32081,Nicholls,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,1514,-2.67
ACT,102,Fraser,32081,Nicholls,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,1662,2.67
ACT,102,Fraser,38198,O'Connor,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,221,-0.8
ACT,102,Fraser,38198,O'Connor,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,707,0.8
ACT,102,Fraser,8832,Page,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,680,-1.11
ACT,102,Fraser,8832,Page,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,1322,1.11
ACT,102,Fraser,31626,Palmerston,18176,WILLIAMS,Troy,2,N,N,LP,Liberal,1099,-3.19
ACT,102,Fraser,31626,Palmerston,17613,McMULLAN,Bob,3,Y,Y,ALP,Australian Labor Party,1635,3.19
