2004 Federal Election House of Representatives First Preferences By Candidate By Polling Place for ACT [12246 8/11/2005 11:07:25 PM]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,SittingMemberFl,PartyAb,PartyNm,OrdinaryVotes,Swing
ACT,101,Canberra,8791,Wanniassa Hills,999,Informal,Informal,999,,,Informal,96,0.04
ACT,101,Canberra,8792,Waramanga,15421,ELLERMAN,Sue,1,,GRN,The Greens,344,3.55
ACT,101,Canberra,8792,Waramanga,15166,BARNIER,Belinda,2,,LP,Liberal,1080,3.19
ACT,101,Canberra,8792,Waramanga,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,21,0.66
ACT,101,Canberra,8792,Waramanga,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),1669,3.43
ACT,101,Canberra,8792,Waramanga,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,91,-5.7
ACT,101,Canberra,8792,Waramanga,999,Informal,Informal,999,,,Informal,136,0.17
ACT,101,Canberra,8793,Weston,15421,ELLERMAN,Sue,1,,GRN,The Greens,208,2.79
ACT,101,Canberra,8793,Weston,15166,BARNIER,Belinda,2,,LP,Liberal,603,1.58
ACT,101,Canberra,8793,Weston,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,13,0.73
ACT,101,Canberra,8793,Weston,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),913,4.9
ACT,101,Canberra,8793,Weston,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,39,-5.27
ACT,101,Canberra,8793,Weston,999,Informal,Informal,999,,,Informal,55,-0.02
ACT,101,Canberra,8840,Yarralumla,15421,ELLERMAN,Sue,1,,GRN,The Greens,236,4.46
ACT,101,Canberra,8840,Yarralumla,15166,BARNIER,Belinda,2,,LP,Liberal,587,2.88
ACT,101,Canberra,8840,Yarralumla,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,7,0.42
ACT,101,Canberra,8840,Yarralumla,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),789,0.48
ACT,101,Canberra,8840,Yarralumla,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,33,-5.15
ACT,101,Canberra,8840,Yarralumla,999,Informal,Informal,999,,,Informal,67,1.07
ACT,102,Fraser,8802,Ainslie,14756,VASSILOPOULOS,James,1,,SAL,Socialist Alliance,43,2.27
ACT,102,Fraser,8802,Ainslie,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),990,-0.39
ACT,102,Fraser,8802,Ainslie,15143,GILES,Adam,3,,LP,Liberal,497,3.59
ACT,102,Fraser,8802,Ainslie,15137,GRIMSEY,Lynne,4,,DEM,Australian Democrats,43,-5.27
ACT,102,Fraser,8802,Ainslie,15425,TURBAYNE,David,5,,GRN,The Greens,324,4.86
ACT,102,Fraser,8802,Ainslie,999,Informal,Informal,999,,,Informal,72,-1.85
ACT,102,Fraser,8801,Ainslie North,14756,VASSILOPOULOS,James,1,,SAL,Socialist Alliance,46,2.18
ACT,102,Fraser,8801,Ainslie North,15359,McMULLAN,Bob,2,#,ALP,Australian Labor Party (ACT Branch),1209,6.94
ACT,102,Fraser,8801,Ainslie North,15143,GILES,Adam,3,,LP,Liberal,440,-0.67
ACT,102,Fraser,8801,Ainslie North,15137,GRIMSEY,Lynne,4,,DEM,Australian Democrats,47,-4.71
ACT,102,Fraser,8801,Ainslie North,15425,TURBAYNE,David,5,,GRN,The Greens,371,3.14
